Id,question_id,label
161,52,Henrik Ibsen
162,52,place of burial
163,52,Vår Frelsers gravlund
164,53,position held
165,53,George Canning
166,53,end time
167,54,noble title
168,54,Charles the Bald
169,55,space center
170,55,space
171,56,before was
172,56,language official
173,56,Champa
174,57,order
175,57,Augustine of Canterbury
176,57,founded in
177,57,Abbey of Monte Cassino
178,58,airport
179,58,place served by transport hub
180,58,Belgrade
181,59,town
182,59,Al Jawf Region
183,59,diplomatic relation
184,59,Sweden
185,60,torque
186,60,BMW M20B20
187,60,equals
188,60,160
189,61,musical
190,61,based on
191,61,The Count of Monte Cristo
192,62,forename
193,62,Walter Yeo
194,62,similar to
195,62,Wöltje
196,63,Paul VI
197,63,work location
198,63,Rome
199,63,Munich
200,64,time-weighted average exposure limit
201,64,arsenic
202,65,superhuman feature or ability
203,65,Wonder Woman
204,66,point in time
205,66,Glen Campbell
206,66,award received
207,66,Grammy Hall of Fame
208,67,has grammatical gender
209,67,second language
210,67,Aleksandar Šapić
211,68,birth city
212,68,Johann Strauss II
213,68,size
214,68,1.61
215,69,introduced
216,69,prize received
217,69,Semyon Budyonny
218,70,human
219,70,child
220,70,Prince George of Cambridge
221,71,temperature
222,71,cosmic microwave background radiation
223,71,equals
224,71,2.72548
225,72,has grammatical person
226,72,French
227,73,statement describes
228,73,Pythagorean theorem
229,74,ResearcherID
230,74,Andrey Korotayev
231,75,euroleague.net ID
232,75,Arvydas Sabonis
233,76,Städel Museum artist ID
234,76,Käthe Kollwitz
235,77,collective pseudonym
236,77,said to be the same as
237,77,Coen brothers
238,78,Deutsche Olympiamannschaft athlete ID
239,78,Ralf Schumann
240,79,author of foreword
241,79,John Lasseter
242,80,developer
243,80,academic discipline
244,80,Petr Vopěnka
245,81,public office
246,81,position held
247,81,John Jay
248,82,parabolic reflector
249,82,operator
250,82,University of Toronto
251,83,item operator
252,83,inventor or discoverer
253,83,13413 Bobpeterson
254,84,oxidation state
255,84,phosphorus
256,85,end time
257,85,Bruges
258,85,located in the administrative territorial entity
259,85,County of Flanders
260,86,dynasty
261,86,paduspanids
262,87,exploitation visa number
263,87,Grease
264,88,series ordinal
265,88,Peter the Great
266,88,spouse
267,88,Eudoxia Lopukhina
268,89,art museum
269,89,residence
270,89,Rembrandt
271,90,unitary state
272,90,MAX(real gross domestic product growth rate)
273,91,depicts
274,91,Primavera
275,92,award received
276,92,Shimon Peres
277,92,together with
278,93,date of birth
279,93,mother
280,93,{John Adams
281,93,child
282,93,Abigail Adams Smith
283,94,position held
284,94,Harold Holt
285,94,electoral district
286,95,legislature
287,95,location
288,95,Indore
289,96,numeric value
290,96,atomic nucleus
291,96,has quality
292,96,baryon number
293,97,LinkedIn company ID
294,97,Nanyang Technological University
295,98,library
296,98,archives at
297,98,Bonn
298,99,award received
299,99,Henry Dunant
300,99,prize money
301,100,Vostok
302,100,astronaut mission
303,100,Yuri Gagarin
304,101,nominee for
305,101,The Apartment
306,101,victor
307,101,George Arliss
308,102,series ordinal
309,102,Helmut Kohl
310,102,given name
311,102,Michael
312,103,vehicles per thousand people
313,103,Dubai
314,103,equals
315,103,540
316,104,V&A art work ID
317,104,California Institute of the Arts
318,105,connects with
319,105,Trans-Siberian railway
320,106,snooker tournament
321,106,sport
322,106,snooker
323,107,PhD advisor
324,107,Clifford Geertz
325,107,significant works
326,107,The Structure of Social Action
327,108,point in time
328,108,Phuket
329,108,population
330,108,394169.0
331,109,is in the rural city of
332,109,Fukushima
333,109,has rural cities
334,109,Kawamata
335,110,coined
336,110,RNA polymerase
337,110,work
338,110,biochemist
339,111,recurring sporting event
340,111,organizer
341,111,Tennis Australia
342,111,australian
343,112,record held
344,112,sports event
345,112,Kamal Ziani
346,113,topic of
347,113,history of the Maldives
348,113,inhabitants
349,113,227863.0
350,114,divisions
351,114,member of
352,114,École Centrale de Lille
353,115,contestant
354,115,series
355,115,Bully on the Bus
356,116,magnification
357,116,TZF 5e
358,116,equals
359,116,2.4
360,117,member of political party
361,117,Mátyás Rákosi
362,118,nonprofit organization
363,118,authority
364,118,association football
365,119,Chuck_Berry
366,119,instrument
367,119,Fender Stratocaster
368,119,Gibson ES-335
369,120,literary genre
370,120,artist
371,120,Sarah Brightman in Concert
372,121,sinking
373,121,MAX(number of missing)
374,122,written by
375,122,mentioned in
376,122,Trishira
377,123,continent
378,123,Jin dynasty
379,123,pronunciation audio
380,123,Fr-Asie.ogg
381,124,intended public
382,124,woman
383,125,heterocyclic compound
384,125,MAX(mass)
385,125,has part
386,125,fluorine
387,126,satellite bus
388,126,X Window System
389,127,eligible voters
390,127,Catalan regional election 2015 in Castell de l'Areny
391,127,equals
392,127,48.0
393,128,educated at
394,128,Bernice Rubens
395,128,academic major
396,129,court
397,129,Jari Sillanpää
398,129,convicted of
399,129,driving under the influence
400,130,student of
401,130,Caspar David Friedrich
402,131,academic degree
403,131,Katherine Dunham
404,131,educated at
405,131,University of Chicago
406,132,constituency of the Rajya Sabha
407,132,coextensive with
408,132,Himachal Pradesh
409,133,aircraft family
410,133,item operated
411,133,easyJet
412,134,start time
413,134,end time
414,134,{Belfast
415,134,country
416,134,United Kingdom of Great Britain and Ireland
417,135,wives
418,135,landscape of
419,135,"Snake Dance, Ruth St. Denis"
420,136,cases
421,136,first language
422,136,Dirk Nowitzki
423,137,country of citizenship
424,137,occupation
425,137,Bruno_Mars
426,138,biographical database
427,138,location of formation
428,138,University of Toronto
429,139,maximum peak exposure limit
430,139,styrene
431,139,equals
432,139,3067.2
433,140,game mechanics
434,140,Dungeons & Dragons
435,141,mushroom cap shape
436,141,Pleurotus ostreatus
437,142,speed
438,142,MV Explorer
439,142,equals
440,142,12.5
441,143,sports season
442,143,participant
443,143,Magnus Carlsen
444,144,drug interaction
445,144,prescribed drug
446,144,focal epilepsy
447,145,human
448,145,spouse
449,145,Oliver Cromwell
450,146,Garth_Brooks
451,146,record label
452,146,Big Machine Records
453,146,Decca
454,147,luminosity
455,147,Alpha Andromedae
456,147,less than
457,147,240.0
458,148,studied by
459,148,subitem of
460,148,engineering ethics
461,149,mountain range
462,149,Sayan Mountains
463,150,substrate of
464,150,vegetable oil
465,151,product
466,151,MAX(consumption rate)
467,152,Wikimedia language code
468,152,Quechua
469,153,constitutional monarchy
470,153,contains administrative territorial entity
471,153,Oslo
472,154,member of
473,154,founder
474,154,postmodernism
475,155,top-level Internet domain
476,155,Saint-Barthélemy
477,156,number of platform tracks
478,156,Danube
479,156,equals
480,156,1
481,157,philosophical movement
482,157,practiced by
483,157,atheist
484,157,atheism
485,158,Cultural heritage database in Austria ObjektID
486,158,Belvedere
487,159,borough in the United Kingdom
488,159,contains administrative territorial entity
489,159,Norfolk
490,160,game
491,160,'z'
492,161,painting
493,161,young
494,162,bordered by
495,162,principle office
496,162,The Daily Manila Shimbun
497,163,crew member
498,163,Skylab
499,164,spore print color
500,164,brown
501,165,seiyu
502,165,part of series
503,165,Max Jets
504,166,bestowed by
505,166,award won
506,166,Karmen Jelincic
507,167,public holiday
508,167,Georgia
509,168,sovereign state
510,168,highest judicial authority
511,168,British Supreme Court for China and Japan
512,168,'j'
513,169,natural satellite
514,169,parent astronomical body
515,169,Uranus
516,170,trading fee
517,170,Bitfinex
518,170,equals
519,170,0.16
520,171,point in time
521,171,Jeff Bridges
522,171,award received
523,171,Golden Globe Award
524,172,writing system
525,172,different from
526,172,traditional Chinese characters
527,173,dialect
528,173,writing system
529,173,Arabic alphabet
530,174,spin quantum number
531,174,boson
532,175,governing text
533,175,perjury
534,175,shortened name
535,175,StGB
536,176,dog breed
537,176,country of origin
538,176,Germany
539,176,weimaraner
540,177,awards received
541,177,pupils
542,177,Enrico Fermi
543,178,honorific prefix
544,178,Dame
545,179,songwriter
546,179,Fantasia on a Theme by Thomas Tallis
547,179,disciple
548,179,Joan Trimble
549,180,follows
550,180,followed by
551,180,{Berengar I of Italy
552,180,noble title
553,180,monarch of Italy
554,181,is in the village of
555,181,Negev
556,181,diplomatic relation
557,181,Czech Republic
558,182,borough of New York City
559,182,category of associated people
560,182,Category:People from Manhattan
561,182,manhattan
562,183,writer
563,183,prequel is
564,183,Girls under Pressure
565,184,physical object
566,184,'z'
567,185,earthquake magnitude on the Richter magnitude scale
568,185,1995 Marathon earthquake
569,185,equals
570,185,5.7
571,186,angle
572,186,'e'
573,187,film series
574,187,producer
575,187,Mike Myers
576,188,oxidation state
577,188,phosphorus
578,188,equals
579,188,3
580,189,Bien de Interés Cultural (BIC) code
581,189,Cave of Altamira
582,190,together with
583,190,AIDS
584,191,phase of matter
585,191,water
586,191,density
587,191,0.9857
588,192,nutrient
589,192,'v'
590,193,Chennai
591,193,twinned administrative body
592,193,Chongqing
593,193,Ulsan
594,194,cases
595,194,language official
596,194,Grand Duchy of Finland
597,195,artwork
598,195,wedded to
599,195,Jane Pauley
600,196,fictional humanoid
601,196,present in work
602,196,Looney Tunes
603,197,territory overlaps
604,197,Rideau Canal
605,198,spouse
606,198,position played on team / speciality
607,198,Diego_Maradona
608,199,in work
609,199,actor
610,199,Looney Tunes Super Stars' Pepe Le Pew: Zee Best of Zee Best
611,200,genetic association
612,200,health specialty
613,200,Migraine
614,201,compiled by
615,201,published by
616,201,A Portrait of the Artist as a Young Man
617,202,adjacent to
618,202,Essex
619,202,divides into
620,202,Royal Borough of Kensington and Chelsea
621,203,Zinedine_Zidane
622,203,position played on team / speciality
623,203,midfielder
624,204,member of
625,204,diplomatic relation
626,204,Belgium
627,205,sub-orbital spaceflight
628,205,astronaut mission
629,205,Alan Shepard
630,206,chemical substance
631,206,named after
632,206,Physeter macrocephalus
633,207,HQ location
634,207,member of party
635,207,Rajesh Khanna
636,208,point in time
637,208,Joe Greene
638,208,award received
639,208,AP NFL Defensive Player of the Year Award
640,209,work location
641,209,Wuppertal
642,210,Seoul
643,210,contains administrative territorial entity
644,210,Jongno District
645,210,Gangbuk District
646,211,publisher
647,211,Through the Looking-Glass
648,212,milk tea
649,212,'t'
650,213,country
651,213,contains administrative territorial entity
652,213,European Union
653,214,Cycling Quotient male cyclist ID
654,214,Chris Froome
655,215,Art Museum of Estonia artist ID
656,215,Egon Schiele
657,216,point in time
658,216,James Garner
659,216,nominated for
660,216,Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Miniseries or Television Movie
661,217,religious name
662,217,Mother Teresa
663,218,portrait of
664,218,major works
665,218,Thomas Lawrence
666,219,taxon
667,219,has effect
668,219,typhus
669,220,PPP GDP per capita
670,220,Uzbekistan
671,221,relative permeability
672,221,iron
673,221,equals
674,221,240000.0
675,222,Allcinema film ID
676,222,Groundhog Day
677,223,favorite player
678,223,Objective-C
679,223,developed by
680,223,Daniel Henry Holmes Ingalls
681,224,photographic technique
682,224,'v'
683,225,stellar classification
684,225,'t'
685,226,ultimate tensile strength
686,226,nylon
687,227,tenant
688,227,farm
689,227,sector
690,227,agriculture
691,228,point in time
692,228,Lebanon
693,228,inflation rate
694,228,34.2
695,229,olympic record
696,229,sports
697,229,relay race
698,230,higher taxon
699,230,Viola
700,230,vernacular name
701,230,Фиалковые
702,231,Class IC flammable liquid
703,231,MAX(boiling point)
704,232,lower flammable limit
705,232,phosphine
706,233,administrative territorial entity
707,233,territory claimed by
708,233,German Democratic Republic
709,234,start time
710,234,Empire of Japan
711,234,shares border with
712,234,Republic of China (1912–1949)
713,235,first language
714,235,inventor or discoverer
715,235,Indo-European languages
716,236,executive power headed by
717,236,place of origin
718,236,Led Zeppelin
719,237,bordered by
720,237,Tamaulipas
721,237,has shires
722,237,Brewster County
723,238,died in
724,238,Thomas Cole
725,238,divided into
726,238,Rensselaer County
727,239,biblical episode
728,239,significant event
729,239,Judas Iscariot
730,240,referendums in Ireland
731,240,MAX(votes received)
732,240,follows
733,240,Thirty-First Amendment of the Constitution of Ireland
734,241,The_Chainsmokers
735,241,country of origin
736,241,United States of America
737,242,video game
738,242,voice actor
739,242,Phil LaMarr
740,243,human
741,243,sport
742,243,Australian rules football
743,244,human
744,244,place of burial
745,244,Taj Mahal
746,245,measured by
747,245,drug used for treatment
748,245,Anxiety
749,246,point in time
750,246,Günter Grass
751,246,award received
752,246,Princess of Asturias Literary Prize
753,247,RePEc Short-ID
754,247,Lars Peter Hansen
755,248,followed by
756,248,Kingdom of Prussia
757,249,source of material
758,249,Central Africa
759,250,location born
760,250,Mikhail Frunze
761,250,inhabitants
762,250,750327.0
763,251,award received
764,251,Peter Debye
765,251,prize money
766,252,big city
767,252,shares border with
768,252,Los Angeles
769,253,Swedish Gravestone ID
770,253,Alfred Nobel
771,254,Museofile
772,254,Musée d'Orsay
773,255,end time
774,255,Republic of Bashkortostan
775,255,located in the administrative territorial entity
776,255,Russian Soviet Federative Socialist Republic
777,256,owner of
778,256,headquarters location
779,256,East_India_Company
780,257,Open Media Database film ID
781,257,Mad Max
782,258,divides into
783,258,depiction of
784,258,Garden in Guangzhou
785,259,has villages
786,259,Corrientes
787,259,co-ordinate location
788,259,-27.75
789,260,papers at
790,260,narrative set in
791,260,The Grapes of Wrath
792,261,time
793,261,implies
794,261,turbulence
795,262,historical country
796,262,capital
797,262,Tenochtitlan
798,263,Doctor_Who
799,263,spin-off
800,263,Doctor Who
801,264,Gamebase64 identifier
802,264,Donkey Kong
803,265,ethnic group
804,265,Uyghur people
805,266,sRGB colour hex triplet
806,266,colour
807,266,charcoal
808,267,art collection
809,267,on the tracklist of
810,267,Papyrus Oxyrhynchus 223
811,268,Q48460
812,268,basin countries
813,268,Loch Ness
814,269,participant of
815,269,Spanish Civil War
816,270,Base de datos de premiados person ID
817,270,Mario Vargas Llosa
818,271,PIN Code
819,271,lives in
820,271,Halle Berry
821,272,last words
822,272,Jesus Christ
823,273,seiyu
824,273,succeeds to
825,273,Planes: Fire & Rescue
826,274,author
827,274,New Testament
828,275,admission rate
829,275,University of British Columbia
830,275,greater than
831,275,0.4192
832,276,diplomatic relation
833,276,Bangladesh
834,277,student of
835,277,student
836,277,William_Blake
837,278,located in the administrative territorial entity
838,278,Nikita Mikhalkov
839,278,place of birth
840,278,Moscow
841,279,apparent magnitude
842,279,Messier 2
843,279,less than
844,279,5.2
845,280,sculptors
846,280,The Smurfs
847,280,gender identity
848,280,male
849,281,end time
850,281,Alexey Leonov
851,281,significant event
852,281,extra-vehicular activity
853,282,human
854,282,founded by
855,282,International Red Cross and Red Crescent Movement
856,283,maximum Strahler number
857,283,Kipps Run
858,283,equals
859,283,2
860,284,point in time
861,284,Jacobus Henricus van 't Hoff
862,284,award received
863,284,Helmholtz Medal
864,285,profession
865,285,MAX(base salary)
866,286,replaced by
867,286,Peter Damian
868,286,position held
869,286,cardinal-bishop
870,287,maximum capacity
871,287,Maschinengewehrkraftwagen
872,287,equals
873,287,2
874,288,gene
875,288,vgf
876,289,net tonnage
877,289,Maggie Lee
878,289,equals
879,289,8
880,290,computer model
881,290,operating system
882,290,Commodore BASIC V2
883,290,64
884,291,start time
885,291,number of points/goals/set scored
886,291,{Peter Schmeichel
887,291,member of sports team
888,291,Manchester City F.C.
889,292,Armenian Cinema ID
890,292,Aram Khachaturian
891,293,point in time
892,293,Seychelles
893,293,inflation rate
894,293,2.3
895,294,stroke
896,294,Maybach MD 871
897,294,equals
898,294,160.0
899,295,Han Chinese
900,295,MAX(net worth estimate)
901,295,instance of
902,295,Han Chinese
903,296,for work
904,296,Alanis Morissette
905,296,nominated for
906,296,Juno Award for Songwriter of the Year
907,297,subject of international law
908,297,subsidiary
909,297,United Nations General Assembly
910,298,airline
911,298,MAX(total revenue)
912,299,start time
913,299,Demi Moore
914,299,spouse
915,299,Bruce Willis
916,300,end time
917,300,Tip O'Neill
918,300,position held
919,300,speaker of the United States House of Representatives
920,301,university attended
921,301,Jad Abumrad
922,301,member of
923,301,Center for Research Libraries
924,302,UNII
925,302,silver nitrate
926,303,RuPaul
927,303,genre
928,303,Eurodance
929,303,electronic dance music
930,304,art form
931,304,'s'
932,305,film starring
933,305,series
934,305,Souls of the Departed
935,306,highly urbanized city
936,306,language used
937,306,Davawenyo
938,306,city
939,307,point in time
940,307,Maria Tallchief
941,307,award received
942,307,Capezio Dance Award
943,308,war of national liberation
944,308,war
945,309,point in time
946,309,Adunis
947,309,award received
948,309,Janus Pannonius International Poetry Prize
949,310,Homo_sapiens
950,310,source of energy
951,310,vitamin
952,310,large intestine
953,311,academic major
954,311,academic degree
955,311,{Bashar al-Assad
956,311,educated at
957,311,Damascus University
958,312,biblical episode
959,312,'v'
960,313,ghost town
961,313,narrative location
962,313,South Park
963,314,municipality of Japan
964,314,currency
965,314,Japanese yen
966,315,public university
967,315,language used
968,315,English
969,315,'u'
970,316,legal form
971,316,sole proprietorship
972,317,connected with
973,317,makes use of
974,317,butterfly stroke
975,318,national anthem
976,318,published in
977,318,The Army and Navy Hymnal
978,318,'b'
979,319,educated at
980,319,Stephen King
981,319,academic degree
982,320,human
983,320,student
984,320,John the Apostle
985,321,steel bridge
986,321,architect
987,321,Isambard Kingdom Brunel
988,322,country
989,322,Transylvania
990,323,country
991,323,World Heritage criteria
992,323,Taj_Mahal
993,324,genre of music
994,324,portrayed by
995,324,Ghoomar (song)
996,325,OCLC control number
997,325,Fear and Loathing in Las Vegas
998,326,astronomical interferometer
999,326,operator
1000,326,California Institute of Technology
1001,327,point in time
1002,327,Thirteen Colonies
1003,327,population
1004,327,1980
1005,328,academic subject
1006,328,music school
1007,328,Wikivoyage banner
1008,328,Deep Purple guitars banner.jpg
1009,329,signs
1010,329,cause of
1011,329,carbon tetrachloride
1012,330,cover version
1013,330,MAX(beats per minute)
1014,331,twin town
1015,331,Shiga Prefecture
1016,331,has districts
1017,331,Eugênio de Castro
1018,332,sculptors
1019,332,The Dream of the Fisherman's Wife
1020,332,artistic genre
1021,332,ukiyo-e
1022,333,sport played
1023,333,split from
1024,333,Triathlon at the 2008 Summer Olympics – Women's
1025,334,spiral galaxy
1026,334,'u'
1027,335,short film
1028,335,film editor
1029,335,Sergei Eisenstein
1030,336,noble title
1031,336,Alexander the Great
1032,337,conferred by
1033,337,WWE
1034,338,payment types accepted
1035,338,Louvre Museum
1036,339,machine learning
1037,339,'m'
1038,340,writer
1039,340,remake of
1040,340,Lady in the Lake
1041,341,highest peak
1042,341,endemism
1043,341,Callobius klamath
1044,342,phase point
1045,342,water
1046,342,pressure
1047,343,votes received
1048,343,"Swiss animal protection referendum, 1893"
1049,343,equals
1050,343,101680.8
1051,344,crafted from
1052,344,asssembly process
1053,344,dungaree
1054,345,PASE ID
1055,345,Athelstan
1056,346,total shots in career
1057,346,Petteri Wirtanen
1058,346,equals
1059,346,1
1060,347,founders
1061,347,video game publisher
1062,347,Inca
1063,348,security agency
1064,348,chairperson
1065,348,Yuri Andropov
1066,348,'k'
1067,349,elected in
1068,349,end cause
1069,349,{James Callaghan
1070,349,position held
1071,349,Member of the 40th Parliament of the United Kingdom
1072,350,periodical literature
1073,350,mouthpiece
1074,350,Southwest Airlines
1075,351,human
1076,351,architect
1077,351,White House
1078,352,moveable feast
1079,352,feast day
1080,352,resurrection of Jesus
1081,353,wingspan
1082,353,Andean Condor
1083,353,equals
1084,353,3.048
1085,354,city of the United States
1086,354,narrative location
1087,354,Friends
1088,355,Czech street ID
1089,355,Charles Bridge
1090,356,Malala_Yousafzai
1091,356,father
1092,356,Ziauddin Yousafzai
1093,357,country
1094,357,Constantin Stanislavski
1095,357,place of birth
1096,357,Moscow
1097,358,city of the United States
1098,358,'w'
1099,359,net worth
1100,359,Jesus Christ
1101,359,equals
1102,359,t1417656573
1103,360,adjacent to
1104,360,Turkmenistan
1105,360,member of
1106,360,Commonwealth of Independent States
1107,361,number of blank votes
1108,361,"Rio Grande municipal election, 2016 for Councillor"
1109,361,equals
1110,361,7170
1111,362,Pacific hurricane
1112,362,MAX(maximum sustained winds)
1113,362,part of
1114,362,1959 Pacific hurricane season
1115,363,physical quantity
1116,363,measured physical quantity
1117,363,joule
1118,364,neutron number
1119,364,aluminium-26
1120,364,equals
1121,364,10.4
1122,365,on harbour
1123,365,player
1124,365,Gallipoli campaign
1125,366,crosses
1126,366,Jhelum River
1127,367,biological sex
1128,367,Curtis Warren
1129,367,shortened name
1130,367,男
1131,368,first-class city
1132,368,'m'
1133,369,inventory number
1134,369,Robert Southey
1135,369,archives at
1136,369,Leeds University Library
1137,370,date of birth
1138,370,date of death
1139,370,{Pedro I
1140,370,child
1141,370,Maria II of Portugal
1142,371,end time
1143,371,Zico
1144,371,member of sports team
1145,371,Brazil national football team
1146,372,American football team
1147,372,head coach
1148,372,Bill Belichick
1149,373,mascot character
1150,373,mascot
1151,373,Georgetown University
1152,374,sRGB colours hex triplet
1153,374,colours
1154,374,polar bear
1155,375,San_Diego
1156,375,owner of
1157,375,SDCCU Stadium
1158,375,California State Route 209
1159,376,newspaper
1160,376,MAX(publication interval)
1161,377,start time
1162,377,Henry VII
1163,377,position held
1164,377,monarch of England
1165,378,eccentricity
1166,378,aspect of
1167,378,Internal structure of the Moon
1168,379,specific age inside fictional universe
1169,379,Dr. Lanyon
1170,379,equals
1171,379,50
1172,380,musical conductor
1173,380,Lorin Maazel
1174,381,watershed area
1175,381,rio dei Bareteri
1176,381,equals
1177,381,0.0
1178,382,suicide rate
1179,382,United States of America
1180,382,equals
1181,382,12.1
1182,383,CiNii author ID (books)
1183,383,François Hollande
1184,384,location
1185,384,height
1186,384,{pole vault
1187,384,record held
1188,384,Brad Walker
1189,385,next to
1190,385,death place
1191,385,Hasdai Crescas
1192,386,aspect of
1193,386,history of Malta
1194,386,diplomatic relation
1195,386,India
1196,387,Norse deity
1197,387,óðr
1198,388,artist
1199,388,The Rise and Fall of Ziggy Stardust and the Spiders from Mars
1200,388,work
1201,388,pianist
1202,389,central bank
1203,389,place of origin
1204,389,Sydney Morning Herald
1205,390,annual event
1206,390,'t'
1207,391,individual tax rate
1208,391,Netherlands
1209,391,equals
1210,391,41.6
1211,392,award
1212,392,field of work
1213,392,communication
1214,393,GOST 7.67 cyrillic
1215,393,South Korea
1216,394,sectional view
1217,394,guava
1218,395,G-type main-sequence star
1219,395,MAX(angular diameter)
1220,396,first minister
1221,396,place of activity
1222,396,Richard Russell
1223,397,head of state
1224,397,Bermuda
1225,398,business
1226,398,parent organization
1227,398,Al Jazeera
1228,399,human
1229,399,member of political party
1230,399,Nazi Party
1231,400,web series
1232,400,presenter
1233,400,Jerry Seinfeld
1234,401,house
1235,401,residence
1236,401,Charles Darwin
1237,402,video game developer
1238,402,developer
1239,402,Pong
1240,403,football federation
1241,403,authority
1242,403,association football
1243,404,Kelly_Ripa
1244,404,nominated for
1245,404,Daytime Emmy Award for Outstanding Younger Actress in a Drama Series
1246,404,Daytime Emmy Award for Outstanding Lead Actress in a Drama Series
1247,405,mushroom ecological type
1248,405,Shiitake mushroom
1249,406,sovereign state
1250,406,capital
1251,406,Vilnius
1252,407,number of out of school children
1253,407,continent
1254,407,Middle East
1255,408,chemical element
1256,408,ytterbium
1257,409,prime minister
1258,409,Niigata Prefecture
1259,409,career
1260,409,politician
1261,410,ethnic group
1262,410,Uzbekistan
1263,411,island nation
1264,411,official language
1265,411,English
1266,412,endemism
1267,412,numbat
1268,412,has states
1269,412,Shire of Serpentine-Jarrahdale
1270,413,bug tracking system
1271,413,Tencent QQ
1272,414,start time
1273,414,Sandra Day O'Connor
1274,414,position held
1275,414,Associate Justice of the Supreme Court of the United States
1276,415,television series episode
1277,415,characters
1278,415,Stephen Hawking
1279,416,located in the administrative territorial entity
1280,416,Nicaragua
1281,417,continent
1282,417,continent
1283,417,Southeast Asia
1284,418,negative emotion
1285,418,medical condition treated
1286,418,phenol
1287,419,billionaire
1288,419,MAX(net worth estimate)
1289,420,Pornhub ID
1290,420,Jamie Gillis
1291,421,fleet or registration number
1292,421,Ahmedabad
1293,422,number of matches played/races/starts
1294,422,Alan Staley
1295,422,greater than
1296,422,1.2
1297,423,born at
1298,423,Philippe Quintais
1299,423,sister city
1300,423,Bethlehem
1301,424,child
1302,424,Pedro I
1303,424,date of death
1304,425,Internet Broadway Database show ID
1305,425,Antigone
1306,426,Tropicos publication ID
1307,426,Botanical Journal of the Linnean Society
1308,427,continent
1309,427,lives in
1310,427,Douglas Adams
1311,428,vector physical quantity
1312,428,'v'
1313,429,continent
1314,429,continent
1315,429,East Asia
1316,430,Greek primordial deity
1317,430,'u'
1318,431,language native
1319,431,Vivien Leigh
1320,431,label in sign language
1321,431,Csc-anglès-spreadthesign.ogv
1322,432,residence
1323,432,Yekaterinburg
1324,433,academic degree
1325,433,Ernest Rutherford
